,Model Name,Engine Type,HP or lbs thr ea engine,Max speed Knots,Rcmnd cruise Knots,Stall Knots dirty,Fuel gal/lbs,All eng rate of climb,Landing over 50ft,Empty weight lbs,Price,Total_Length_in,Total_Span_in
215,"188A,B Ag Wagon ('67-'71) fixed-prop normal",Piston,285.0,239.0,226.0,66.0,102,1862.0,5400.0,3292.0,2860000.0,351.0,441.0
216,100 Darter (S.L. Industries),Piston,285.0,207.0,194.0,70.0,102,1662.0,5500.0,3603.0,1975000.0,383.0,443.0
217,A185 F (float) (prior '79 = 4-8 gal less fuel),Piston,260.0,205.0,192.0,63.0,102,1495.0,5300.0,3214.0,1950000.0,354.0,441.0
218,A185 F II Skywagon (prior '81=less perform),Piston,260.0,206.0,193.0,62.0,102,1540.0,5200.0,3170.0,1990000.0,350.0,441.0
219,100 Darter (S.L. Industries),Piston,260.0,206.0,193.0,65.0,102,1540.0,5200.0,3125.0,1990000.0,353.0,443.0
220,185 E Skywagon,Piston,260.0,207.0,194.0,65.0,102,1590.0,5100.0,3094.0,2030000.0,354.0,443.0
221,100 Darter (S.L. Industries),Piston,260.0,209.0,194.0,65.0,102,1690.0,5100.0,3063.0,2110000.0,353.0,449.0
222,R182 II RG Turbo Skylane,Piston,260.0,210.0,191.0,73.0,102,1800.0,4990.0,3049.0,2130000.0,353.0,441.0
223,100 Darter (S.L. Industries),Piston,240.0,191.0,178.0,71.0,102,1700.0,4600.0,2850.0,1950000.0,325.0,433.0
224,T-182R II Turbo Skylane,Piston,250.0,216.0,180.0,62.0,155,1480.0,5000.0,3305.0,2500000.0,365.0,466.0
225,100 Darter (S.L. Industries),Piston,225.0,211.0,204.0,62.0,150,1170.0,4700.0,3184.0,2000000.0,358.0,458.0
226,182T Skylane,Piston,210.0,207.0,200.0,62.0,90,1160.0,4630.0,3038.0,2000000.0,358.0,458.0
227,100 Darter (S.L. Industries),Piston,210.0,200.0,194.0,61.0,93,1105.0,4630.0,2850.0,2930000.0,358.0,458.0
228,182R II (1981 & up),Piston,210.0,201.0,195.0,61.0,93,1155.0,4500.0,2815.0,3010000.0,358.0,456.0
229,100 Darter (S.L. Industries),Piston,210.0,201.0,195.0,59.0,93,1155.0,4500.0,2795.0,3010000.0,358.0,456.0
230,182 N Skylane,Piston,210.0,202.0,196.0,57.0,93,1250.0,4300.0,2785.0,3100000.0,349.0,456.0
231,100 Darter (S.L. Industries),Piston,210.0,172.0,169.0,61.0,90,940.0,4630.0,2925.0,1630000.0,357.0,458.0
232,"182 E,F,G,H",Piston,210.0,173.0,165.0,61.0,93,1100.0,4630.0,2695.0,1800000.0,357.0,458.0
233,100 Darter (S.L. Industries),Piston,210.0,173.0,166.0,60.0,93,1180.0,4440.0,2660.0,1930000.0,357.0,458.0
234,182,Piston,210.0,173.0,166.0,60.0,93,1200.0,4400.0,2655.0,1950000.0,357.0,456.0
235,100 Darter (S.L. Industries),Piston,210.0,173.0,166.0,58.0,93,1200.0,4400.0,2650.0,1950000.0,357.0,456.0
236,"180J,K amphib prior'76=4 gal more fuel (range w/80 gal fuel)",Piston,210.0,174.0,167.0,57.0,93,1250.0,4300.0,2615.0,2000000.0,357.0,456.0
237,100 Darter (S.L. Industries),Piston,210.0,174.0,167.0,55.0,93,1200.0,4200.0,2615.0,2050000.0,357.0,456.0
238,"180J,K (ski) (prior'79=15,600 serv. ceil, less fuel)",Piston,210.0,159.0,150.0,52.0,93,1300.0,3900.0,2320.0,1900000.0,355.0,456.0
239,100 Darter (S.L. Industries),Propjet,675.0,182.0,154.0,61.0,335,1234.0,8000.0,3973.0,2500000.0,450.0,625.0
240,180,Propjet,675.0,186.0,154.0,61.0,335,975.0,8750.0,4765.0,2370000.0,499.0,625.0
242,177 RG Cardinal,Piston,325.0,224.0,212.0,55.0,85,1150.0,4100.0,2471.0,2500000.0,340.0,466.0
243,100 Darter (S.L. Industries),Piston,310.0,201.0,191.0,58.0,90,945.0,4000.0,2481.0,2300000.0,338.0,441.0
244,177 B (thru'74)'70-'71 lgt=27/0 & hgt=9/1,Piston,325.0,224.0,207.0,55.0,87,1150.0,4100.0,2320.0,2900000.0,340.0,466.0
245,100 Darter (S.L. Industries),Piston,310.0,204.0,192.0,58.0,90,930.0,4000.0,2303.0,2700000.0,338.0,441.0
246,177 Cardinal,Piston,310.0,204.0,197.0,57.0,90,1030.0,3800.0,2306.0,2850000.0,338.0,441.0
247,100 Darter (S.L. Industries),Piston,285.0,205.0,187.0,57.0,90,930.0,3800.0,2180.0,2850000.0,339.0,441.0
248,"175,-A,-B",Piston,285.0,203.0,194.0,55.0,89,1115.0,3400.0,2050.0,3020000.0,339.0,441.0
249,100 Darter (S.L. Industries),Piston,285.0,200.0,191.0,54.0,65,1280.0,3300.0,1965.0,3130000.0,336.0,439.0
250,172 Q Cutlass,Piston,300.0,175.0,198.68553459119497,53.0,87,1060.0,3850.0,2220.0,1600000.0,338.0,466.0
251,100 Darter (S.L. Industries),Piston,300.0,174.0,170.0,57.0,90,950.0,3800.0,2219.0,1730000.0,338.0,441.0
252,172S Skyhawk SP,Piston,285.0,174.0,167.0,55.0,90,1000.0,3400.0,1960.0,1830000.0,339.0,441.0
253,100 Darter (S.L. Industries),Piston,285.0,172.0,165.0,54.0,65,1115.0,3300.0,1865.0,1990000.0,336.0,439.0
254,172 P II Skyhawk,Piston,285.0,173.0,166.0,53.0,65,1210.0,3100.0,1860.0,2100000.0,340.0,439.0
255,100 Darter (S.L. Industries),Piston,260.0,170.0,160.0,52.0,65,1270.0,3000.0,1780.0,2030000.0,327.0,438.0
256,172 M Skyhawk ('76=4 mph more speed),Piston,260.0,173.0,165.0,51.0,65,1300.0,2900.0,1740.0,2070000.0,327.0,437.0
257,100 Darter (S.L. Industries),Piston,310.0,170.0,161.0,59.0,61,885.0,3800.0,2254.0,2600000.0,386.0,430.0
258,R172K/Hawk XP (floats),Piston,300.0,150.0,143.0,59.0,61,810.0,3800.0,2177.0,1330000.0,386.0,430.0
259,100 Darter (S.L. Industries),Piston,310.0,155.0,135.0,52.0,92,835.0,3600.0,2404.0,2560000.0,356.0,430.0
260,172 M (float plane 1974-76),Piston,285.0,157.0,143.0,50.0,65,950.0,3600.0,2295.0,2420000.0,342.0,430.0
261,100 Darter (S.L. Industries),Piston,300.0,137.0,131.0,51.0,92,925.0,3500.0,2342.0,1390000.0,356.0,430.0
262,172 K & L float plane,Piston,300.0,136.0,130.0,53.0,61,855.0,3500.0,2312.0,1390000.0,356.0,430.0
263,100 Darter (S.L. Industries),Piston,300.0,136.0,131.0,49.0,65,855.0,3500.0,2200.0,1390000.0,342.0,430.0
264,"172,-D,-E,-F,-G,-H",Piston,300.0,136.0,131.0,60.766877637130804,65,855.0,3500.0,2060.0,1390000.0,342.0,442.0
265,100 Darter (S.L. Industries),Piston,285.0,145.0,132.0,61.0,65,920.0,3300.0,2165.0,2350000.0,344.0,430.0
266,100 Darter (S.L. Industries),Piston,300.0,121.0,119.0,52.0,65,800.0,3300.0,2065.0,1150000.0,344.0,430.0
267,"170,-A,-B",Piston,310.0,174.0,152.0,54.0,92,1010.0,3600.0,2066.0,2700000.0,339.0,430.0
268,100 Darter (S.L. Industries),Piston,285.0,174.0,148.0,53.0,65,1030.0,3600.0,1935.0,2630000.0,345.0,430.0
269,"150M, A150M (Aerobat span=32/9)",Piston,285.0,174.0,160.0,53.0,65,1030.0,3600.0,1795.0,2630000.0,332.0,439.0
270,100 Darter (S.L. Industries),Piston,300.0,156.0,147.0,54.0,92,920.0,3600.0,2002.0,1480000.0,339.0,430.0
271,A 150 L Aerobat (1974),Piston,300.0,151.0,143.0,53.0,65,920.0,3600.0,1725.0,1480000.0,344.0,439.0
272,100 Darter (S.L. Industries),Piston,285.0,151.0,142.0,53.0,65,920.0,3600.0,1795.0,1480000.0,333.0,439.0
273,"150 H,J,K (K=8/8 height)",Piston,285.0,154.0,144.0,52.0,65,1075.0,3300.0,1760.0,1670000.0,333.0,439.0
274,100 Darter (S.L. Industries),Piston,285.0,174.0,160.0,53.0,65,1030.0,3600.0,1915.0,2630000.0,339.0,439.0
275,"150 D,-E,-F,-G",Piston,310.0,178.0,150.0,54.0,92,1050.0,3600.0,2351.0,2700000.0,339.0,432.0
276,100 Darter (S.L. Industries),Piston,300.0,151.0,142.0,54.0,92,988.0,3600.0,2351.0,1570000.0,339.0,432.0
277,150,Piston,285.0,151.0,142.0,53.0,65,920.0,3600.0,1820.0,1480000.0,339.0,439.0
278,100 Darter (S.L. Industries),Piston,285.0,154.0,143.0,52.0,65,1075.0,3300.0,1790.0,1670000.0,338.0,438.0
279,140,Piston,260.0,145.0,138.0,50.0,65,965.0,3300.0,1750.0,1610000.0,327.0,438.0
280,100 Darter (S.L. Industries),Piston,275.0,152.0,143.0,54.0,80,1135.0,3350.0,2050.0,1625000.0,327.0,434.0
281,Vision Jet SF50,Piston,245.0,153.0,139.0,56.0,80,1050.0,3350.0,2030.0,1600000.0,327.0,434.0
282,Columbia 400 LC-41,Piston,300.0,157.0,148.0,55.0,80,1090.0,3350.0,2050.0,1600000.0,327.0,434.0
283,Columbia 350 LC-42,Piston,240.0,153.0,139.0,56.0,80,1090.0,3350.0,2015.0,1600000.0,327.0,434.0
284,100 Darter (S.L. Industries),Piston,310.0,113.0,106.0,58.0,54,510.0,4400.0,2322.0,1400000.0,318.0,500.0
285,115TC,Piston,300.0,106.0,101.0,57.0,54,465.0,4200.0,2230.0,780000.0,311.0,500.0
286,100 Darter (S.L. Industries),Piston,300.0,107.0,103.0,55.0,54,525.0,4000.0,2179.0,870000.0,311.0,489.0
287,114TC,Piston,300.0,105.0,98.0,50.0,54,690.0,4200.0,2220.0,1110000.0,315.0,500.0
288,100 Darter (S.L. Industries),Piston,300.0,105.0,98.0,50.0,37,690.0,4000.0,2189.0,1110000.0,315.0,489.0
289,"114,('76-24/10 length + less performance)",Piston,230.0,91.0,78.0,50.0,37,400.0,3800.0,1900.0,650000.0,303.0,489.0
290,100 Darter (S.L. Industries),Piston,230.0,94.0,83.0,50.0,37,460.0,3800.0,1835.0,770000.0,303.0,489.0
291,112B,Piston,300.0,131.0,123.0,50.0,37,940.0,3300.0,1845.0,1570000.0,315.0,484.0
292,100 Darter (S.L. Industries),Piston,230.0,103.0,101.0,50.0,37,710.0,3300.0,1815.0,1300000.0,303.0,484.0
293,112,Piston,300.0,136.0,130.0,50.0,88,950.0,3100.0,2253.0,1610000.0,330.0,430.0
294,Top Cub,Piston,300.0,141.0,134.0,52.0,88,960.0,3320.0,1998.0,1640000.0,324.0,430.0
295,100 Darter (S.L. Industries),Piston,300.0,155.0,145.0,49.0,88,1075.0,3350.0,1750.0,1790000.0,308.0,430.0
296,Falcon 900 (3-eng fan jet),Piston,300.0,155.0,147.0,51.0,65,1040.0,3350.0,1565.0,1750000.0,306.0,434.0
297,100 Darter (S.L. Industries),Piston,300.0,153.0,145.0,54.0,65,950.0,3300.0,1560.0,1690000.0,306.0,434.0
298,Falcon 200,Piston,260.0,153.0,145.0,54.0,65,1000.0,3200.0,1520.0,1730000.0,305.0,432.0
299,100 Darter (S.L. Industries),Piston,235.0,187.0,173.0,50.0,92,1040.0,3100.0,1846.0,2000000.0,344.0,430.0
300,Falcon Fan Jet D 20,Piston,235.0,160.0,156.0,50.0,92,1140.0,3100.0,1809.0,1800000.0,344.0,430.0
301,100 Darter (S.L. Industries),Piston,235.0,168.0,157.0,49.0,92,965.0,3100.0,1781.0,2000000.0,341.0,430.0
302,Falcon F 20,Piston,235.0,176.0,159.0,49.0,92,1040.0,3100.0,2075.0,2000000.0,348.0,432.0
303,100 Darter (S.L. Industries),Piston,230.0,150.0,145.0,49.0,92,924.0,3100.0,1970.0,1810000.0,348.0,432.0
304,Falcon Fan Jet 10,Piston,230.0,143.0,140.0,46.0,88,924.0,3110.0,1882.0,1810000.0,336.0,192.0
305,100 Darter (S.L. Industries),Piston,230.0,146.0,142.0,49.0,92,865.0,3100.0,1775.0,1490000.0,336.0,430.0
306,DHC 6-300 Twin Otter Std. + '77-'78=less perf.,Piston,230.0,148.0,143.0,50.0,92,1010.0,2950.0,1754.0,1650000.0,336.0,430.0
307,100 Darter (S.L. Industries),Piston,230.0,146.0,139.0,50.0,65,890.0,2950.0,1640.0,1770000.0,337.0,430.0
308,DHC 6-200 Twin Otter,Piston,230.0,148.0,141.0,48.0,65,980.0,2800.0,1620.0,1890000.0,341.0,434.0
309,Twin Star Diamond DA42,Piston,230.0,148.0,141.0,48.0,65,980.0,2800.0,1610.0,1890000.0,328.0,434.0
310,100 Darter (S.L. Industries),Piston,230.0,148.0,141.0,54.0,55,1030.0,2650.0,1560.0,1980000.0,312.0,432.0
311,Katana DA20-C1,Piston,230.0,143.0,135.0,54.0,55,1120.0,2550.0,1540.0,2010000.0,312.0,432.0
312,100 Darter (S.L. Industries),Piston,230.0,137.0,123.0,48.0,88,970.0,2950.0,2204.0,1530000.0,330.0,430.0
313,100 Darter (S.L. Industries),Piston,230.0,137.0,123.0,48.0,61,990.0,2950.0,2110.0,1600000.0,330.0,430.0
314,TB-21 TC Trinidad,Piston,230.0,137.0,123.0,48.0,61,990.0,2950.0,1955.0,1600000.0,324.0,430.0
315,100 Darter (S.L. Industries),Piston,230.0,137.0,123.0,48.0,88,910.0,2800.0,1790.0,1470000.0,346.0,430.0
316,TB-200XL,Piston,230.0,148.0,141.0,48.0,88,1100.0,2800.0,1701.0,1770000.0,308.0,430.0
317,100 Darter (S.L. Industries),Piston,230.0,148.0,141.0,50.0,65,1090.0,2800.0,1525.0,1960000.0,306.0,434.0
318,TB-9 Tampico Club,Piston,230.0,148.0,139.0,54.0,55,1130.0,2650.0,1555.0,2150000.0,312.0,432.0
319,Eclipse 500,Piston,225.0,144.0,137.0,51.0,55,1110.0,2550.0,1540.0,2120000.0,312.0,432.0
320,100 Darter (S.L. Industries),Piston,200.0,157.0,149.0,50.0,61,925.0,2800.0,1765.0,1710000.0,327.0,426.0
321,Eurofox,Piston,200.0,153.0,144.0,50.0,51,860.0,2800.0,1630.0,1690000.0,327.0,426.0
322,Excalibur '800' conv. Beech Twin Bonanza,Piston,180.0,139.0,130.0,46.0,50,840.0,2500.0,1643.0,1460000.0,327.0,426.0
323,Excalibur conv. Beech Twin Bonanza,Piston,180.0,133.0,123.0,46.0,50,840.0,2500.0,1485.0,1460000.0,327.0,426.0
324,100 Darter (S.L. Industries),Piston,180.0,130.0,120.0,49.0,49,760.0,2500.0,1440.0,1580000.0,324.0,427.0
325,"Queen Air '8800' conv. Beech A80,B80",Piston,150.0,125.0,117.0,46.0,49,670.0,2350.0,1415.0,1270000.0,324.0,427.0
326,"Metro III,A",Piston,175.0,123.0,118.0,56.0,52,790.0,2450.0,1325.0,1450000.0,300.0,432.0
327,"Metro, II (prior '79 height=16/10)",Piston,175.0,128.0,121.0,54.0,52,850.0,2350.0,1312.0,1590000.0,300.0,432.0
328,100 Darter (S.L. Industries),Piston,180.0,144.0,140.0,50.0,66,800.0,2650.0,1627.0,1680000.0,329.0,430.0
329,Merlin IV C,Piston,180.0,123.0,122.0,48.0,54,680.0,2550.0,1480.0,1700000.0,323.0,433.0
330,100 Darter (S.L. Industries),Piston,195.0,132.0,130.0,47.0,52,870.0,2550.0,1572.0,1700000.0,326.0,430.0
331,Fairchild 300,Piston,180.0,126.0,124.0,48.0,56,730.0,2550.0,1663.0,1400000.0,326.0,433.0
332,100 Darter (S.L. Industries),piston,160.0,123.0,122.0,47.0,53,720.0,2457.0,1600.0,1350000.0,323.0,433.0
333,"Merlin III C-23 (12,500 gross) (SN TT426 & up)",Piston,160.0,123.0,120.0,46.0,43,700.0,2400.0,1454.0,1300000.0,323.0,430.0
334,100 Darter (S.L. Industries),Piston,160.0,124.0,122.0,44.0,43,770.0,2300.0,1430.0,1420000.0,323.0,430.0
335,Merlin III A,Piston,150.0,122.0,115.0,44.0,42,645.0,2300.0,1335.0,1310000.0,323.0,430.0
336,100 Darter (S.L. Industries),Piston,150.0,122.0,115.0,43.0,42,645.0,2300.0,1315.0,1310000.0,323.0,429.0
337,Merlin II A,Piston,195.0,117.0,116.0,44.0,52,870.0,2550.0,1834.0,1550000.0,322.0,430.0
338,CTSW,Piston,160.0,96.0,95.0,44.0,43,740.0,2220.0,1632.0,1500000.0,320.0,430.0
339,800XP,Piston,150.0,98.0,97.0,44.0,42,715.0,2220.0,1574.0,1200000.0,324.0,430.0
340,100 Darter (S.L. Industries),Piston,150.0,94.0,92.0,45.0,42,580.0,2220.0,1450.0,1200000.0,324.0,429.0
341,G V,Piston,150.0,94.0,92.0,45.0,42,580.0,2220.0,1405.0,1200000.0,319.0,429.0
342,100 Darter (S.L. Industries),Piston,150.0,122.0,115.0,43.0,42,645.0,2300.0,1300.0,1310000.0,323.0,434.0
343,G IV,Piston,145.0,121.0,114.0,43.0,42,645.0,2300.0,1330.0,1310000.0,318.0,434.0
344,100 Darter (S.L. Industries),Piston,145.0,121.0,114.0,43.0,42,675.0,2250.0,1330.0,1420000.0,317.0,432.0
345,100 Darter (S.L. Industries),Piston,145.0,122.0,114.0,51.0,42,730.0,2200.0,1325.0,1510000.0,317.0,432.0
346,GII (G1159) with tip tanks,Piston,145.0,117.0,108.0,50.0,37,660.0,2200.0,1260.0,1330000.0,300.0,432.0
347,100 Darter (S.L. Industries),Piston,145.0,122.0,104.0,50.0,42,690.0,2200.0,1205.0,1550000.0,300.0,432.0
348,GI (G-159) ceiling quoted w/APU,Piston,110.0,110.0,107.0,43.0,26,715.0,1670.0,1141.0,1470000.0,289.0,398.0
349,"HS125-700,A (Hawk-Sidd mfg) ('77=24,200 gross)",Piston,100.0,109.0,106.0,42.0,26,670.0,1600.0,1104.0,1400000.0,287.0,398.0
350,100 Darter (S.L. Industries),Piston,100.0,106.0,102.0,42.0,26,670.0,1600.0,1060.0,1265000.0,285.0,398.0
351,BH-124-400A (Beech mfg),Piston,100.0,108.0,103.0,42.0,26,670.0,1600.0,1040.0,1400000.0,285.0,393.0
352,100 Darter (S.L. Industries),Piston,100.0,104.0,100.0,42.0,26,670.0,1600.0,1020.0,1265000.0,285.0,393.0
353,1124A Westwind 2,Piston,100.0,106.0,102.0,42.0,26,670.0,1600.0,1065.0,1265000.0,285.0,393.0
354,100 Darter (S.L. Industries),Piston,100.0,90.0,85.0,43.0,26,560.0,1650.0,1120.0,1070000.0,289.0,393.0
355,1123 Commodore Jet,Piston,100.0,109.0,102.0,43.0,26,670.0,1600.0,970.0,1265000.0,285.0,392.0
356,100 Darter (S.L. Industries),Piston,100.0,108.0,105.0,43.0,26,740.0,1500.0,965.0,1530000.0,253.0,400.0
357,1121 Jet Commander,Piston,100.0,108.0,104.0,47.0,26,740.0,1500.0,962.0,1530000.0,252.0,400.0
358,J250-SP,Piston,90.0,103.0,90.0,46.0,21,640.0,1500.0,850.0,1560000.0,249.0,399.0
359,J230-SP,Piston,85.0,102.0,88.0,46.0,21,620.0,1500.0,850.0,1510000.0,249.0,399.0
360,LA-4 Amphibian,Piston,85.0,104.0,100.0,43.0,25,640.0,1450.0,818.0,1550000.0,249.0,392.0
361,C-1 Amphibian,Jet,1846.0,311.0,305.0,67.0,2000,1609.0,6000.0,3550.0,3100000.0,367.0,463.0
362,LA-4-200 Buccaneer (land specs),Piston,310.0,235.0,181.0,57.0,106,1250.0,3600.0,2500.0,2500000.0,302.0,428.0
363,XL2,Piston,310.0,235.0,179.0,57.0,106,1250.0,3400.0,2.3,1800000.0,302.0,428.0
365,100 Darter (S.L. Industries),Piston,270.0,197.0,187.0,59.0,90,1050.0,3305.0,2152.0,2500000.0,299.0,394.0
366,8:00 AM,Piston,265.0,164.0,149.0,54.0,90,1070.0,3250.0,2102.0,1680000.0,299.0,394.0
367,Superstar I (601P Aerostar),Piston,270.0,197.0,177.0,59.0,90,1050.0,3305.0,2151.0,2500000.0,299.0,393.0
368,MX-7-160,Piston,260.0,166.0,157.0,54.0,68,1030.0,3260.0,2070.0,1650000.0,301.0,393.0
369,MX-7-180A,Piston,260.0,166.0,157.0,55.0,68,1088.0,3140.0,1905.0,1740000.0,301.0,393.0
370,M-7-235,Piston,210.0,170.0,163.0,54.0,48,914.0,2950.0,2035.0,2000000.0,301.0,427.0
371,100 Darter (S.L. Industries),Piston,200.0,150.0,142.0,51.0,48,950.0,2800.0,1773.0,1505000.0,301.0,427.0
372,M-5-235C,Piston,200.0,149.0,140.0,54.0,48,1020.0,2650.0,1691.0,1390000.0,298.0,393.0
373,100 Darter (S.L. Industries),Piston,200.0,152.0,143.0,53.0,60,1000.0,2550.0,1530.0,1700000.0,299.0,393.0
374,100 Darter (S.L. Industries),Piston,180.0,132.0,110.0,42.0,54,800.0,2300.0,1200.0,1800000.0,282.0,422.0
375,M-5-180C,Piston,100.0,122.0,103.0,27.0,25,790.0,1320.0,825.0,1800000.0,279.0,410.0
376,MU-300 Diamond II,Jet,4750.0,513.0,459.0,81.0,19165,4000.0,45500.0,22573.0,4100000.0,796.0,761.0
377,100 Darter (S.L. Industries),Jet,4500.0,513.0,459.0,81.0,19165,3500.0,45500.0,22573.0,3900000.0,796.0,761.0
378,MU-300 Diamond I,Jet,3700.0,518.0,430.0,77.0,15520,3430.0,38800.0,21100.0,4100000.0,729.0,742.0
379,100 Darter (S.L. Industries),Jet,5200.0,521.0,435.0,89.0,10684,3065.0,32000.0,18800.0,3900000.0,675.0,642.0
380,"MU-2L,-2N (-2N empty weight=7,760)",Jet,4125.0,530.0,457.0,90.0,8420,3500.0,26455.0,16600.0,4200000.0,675.0,642.0
381,100 Darter (S.L. Industries),Jet,4250.0,512.0,457.0,90.0,8980,3500.0,27337.0,15400.0,4200000.0,675.0,642.0
382,MU-2J,Jet,4315.0,530.0,458.0,84.5,9250,3300.0,28660.0,15970.0,4200000.0,675.0,642.0
383,100 Darter (S.L. Industries),Jet,4500.0,530.0,410.0,88.0,9098,3330.0,28660.0,17500.0,3700000.0,675.0,642.0
384,MU-2F,Jet,3230.0,513.0,459.0,84.0,5912,4600.0,19300.0,11200.0,3900000.0,546.0,515.0
385,100 Darter (S.L. Industries),Jet,3230.0,513.0,459.0,88.0,5912,4600.0,18740.0,10800.0,4500000.0,546.0,515.0
386,Acclaim (M20TN),Jet,3230.0,459.0,426.0,92.0,5910,4200.0,18300.0,10800.0,4500000.0,544.0,515.0
387,TLS (M20M),Propjet,620.0,182.0,170.0,58.0,2583,1600.0,12500.0,6881.0,2670000.0,621.0,780.0
388,100 Darter (S.L. Industries),Propjet,620.0,182.0,171.0,64.0,2457,1600.0,12500.0,7487.0,2670000.0,621.0,780.0
390,Encore (MS20K),Piston,135.0,194.0,172.0,56.0,52,1280.0,3935.0,2765.0,1800000.0,337.0,534.0
393,M-20C Ranger ('77-'78),Propjet,850.0,320.0,255.0,60.766877637130804,1887,1380.0,7394.0,4698.0,3100000.0,419.0,499.0
394,M-20-E Super 21 Chaparral,Propjet,700.0,300.0,291.0,61.0,1887,2380.0,6579.0,4050.0,3000000.0,419.0,499.0
396,M-20-B Mark 21,Piston,250.0,167.0,160.0,54.0,86,1260.0,3083.0,1744.0,2000000.0,304.0,390.0
400,H-Rangemaster (1975-'76),Jet,900.0,426.7,426.0,69.0,1686,3314.0,5920.0,3550.0,4100000.0,402.0,455.0
402,100 Darter (S.L. Industries),Piston,100.0,164.0,120.0,46.0,23,1000.0,1235.0,644.0,1400000.0,223.0,359.0
407,PA-31-300 Navajo,Propjet,1000.0,280.0,248.0,88.0,648,2635.0,14500.0,8737.0,2990000.0,712.0,684.0
409,PA-23 E Turbo Aztec (1971 length=30/2),Propjet,1000.0,278.0,248.0,88.0,648,2635.0,14500.0,9200.0,2990000.0,712.0,684.0
411,"PA-23 D,E Aztec (prior '72 length=30/2)",Propjet,840.0,270.0,198.68553459119497,86.0,544,2400.0,12500.0,8200.0,2700000.0,712.0,555.0
412,100 Darter (S.L. Industries),Propjet,900.0,303.0,264.0,92.0,648,2650.0,13230.0,8200.0,2940000.0,506.0,575.0
413,PA-23 C Aztec,Propjet,900.0,300.0,265.0,92.0,648,2650.0,13230.0,8150.0,2700000.0,506.0,555.0
414,100 Darter (S.L. Industries),Propjet,900.0,303.0,264.0,89.0,648,2800.0,12500.0,8090.0,2940000.0,506.0,555.0
415,"PA34-180, Seneca V",Propjet,900.0,309.0,295.0,89.0,648,2780.0,12500.0,7800.0,3140000.0,506.0,555.0
416,100 Darter (S.L. Industries),Propjet,840.0,283.0,198.68553459119497,83.0,648,2530.0,12500.0,7600.0,2890000.0,506.0,555.0
420,100 Darter (S.L. Industries),Piston,100.0,145.0,119.0,35.0,29,850.0,1320.0,760.0,1320000.0,244.0,378.0
421,PA-39 C/R Turbo Twin Comanche,Piston,100.0,133.0,116.0,36.0,18,850.0,1320.0,820.0,1320000.0,246.0,246.0
422,PA-30 B Turbo Twin Comanche,Jet,14750.0,516.0,459.0,60.766877637130804,41000,1250.0,89400.0,46800.0,5100000.0,1157.0,1122.0
423,100 Darter (S.L. Industries),Jet,13850.0,505.0,459.0,115.0,29500,4122.0,75000.0,42500.0,4500000.0,1060.0,934.0
424,PA-23-150 Apache,Jet,13850.0,510.0,459.0,108.0,29500,4219.0,73200.0,42500.0,4500000.0,1060.0,934.0
425,100 Darter (S.L. Industries),Jet,11400.0,503.0,459.0,104.0,28300,4049.0,69700.0,38000.0,4500000.0,997.0,934.0
426,100 Darter (S.L. Industries),Jet,11400.0,503.0,459.0,103.0,28300,4049.0,69700.0,38150.0,4500000.0,959.0,934.0
427,PA-24-C 260 Comanche,Jet,11400.0,503.0,459.0,103.0,26800,4240.0,65500.0,37186.0,4500000.0,959.0,870.0
428,100 Darter (S.L. Industries),Jet,11400.0,503.0,459.0,108.0,23300,4345.0,64800.0,36544.0,4500000.0,959.0,827.0
429,PA-32R-301T Saratoga II TC,Propjet,1950.0,340.0,299.0,87.0,10463,1900.0,36000.0,23008.0,3000000.0,765.0,940.0
434,100 Darter (S.L. Industries),Jet,3700.0,476.0,415.0,89.0,9580,3500.0,23500.0,12800.0,4500000.0,627.0,537.0
435,"PA-28R-,RT-,201T Turbo Arrow III, IV",Jet,3700.0,471.0,426.0,90.0,8710,3200.0,22850.0,12500.0,4500000.0,627.0,537.0
436,100 Darter (S.L. Industries),Jet,3100.0,471.0,426.0,87.0,8620,4040.0,20700.0,11500.0,4500000.0,627.0,536.0
437,PA-28-200R Arrow II (1973-'76),Jet,2950.0,471.0,426.0,84.0,7350,5000.0,18500.0,10500.0,4500000.0,605.0,519.0
438,100 Darter (S.L. Industries),Jet,2850.0,471.0,426.0,82.0,6250,4400.0,17500.0,10500.0,4000000.0,605.0,519.0
439,100 Darter (S.L. Industries),Piston,120.0,125.0,120.0,39.0,36,700.0,1320.0,780.0,1500000.0,257.0,360.0
440,PA-28 180 Challenger & Archer,Piston,120.0,130.0,120.0,39.0,35,700.0,1320.0,800.0,1500000.0,257.0,389.0
441,100 Darter (S.L. Industries),Piston,180.0,122.0,114.0,39.0,40,800.0,2400.0,1555.0,1300000.0,299.0,456.0
442,PA-28 C 150 Cherokee,Piston,180.0,123.0,117.0,45.0,30,800.0,2350.0,1520.0,1350000.0,282.0,408.0
443,100 Darter (S.L. Industries),Piston,150.0,109.0,97.0,50.0,30,700.0,2150.0,1450.0,950000.0,282.0,408.0
444,"PA-28 150,B 150 Cherokee",Piston,180.0,125.0,122.0,39.0,40,1000.0,2400.0,1345.0,1350000.0,299.0,456.0
445,100 Darter (S.L. Industries),Piston,180.0,149.0,143.0,39.0,40,800.0,2400.0,1575.0,2000000.0,299.0,456.0
447,100 Darter (S.L. Industries),Piston,200.0,135.0,130.0,39.0,40,1200.0,2690.0,1555.0,1470000.0,299.0,456.0
